Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
ABN-BCN-CAE-T28.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T29.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T31.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T33.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T32.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T34.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T35.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T36.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T38.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T37.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-CAE-T39.bcn.tzghosting.net,No Change required,Y,2,2
