Server,RebootStatus
CSN-COV-APP-07.cust.tzghsp.net,Reboot Required
CSN-COV-APP-10.cust.tzghsp.net,Reboot Required
CSN-COV-BIZ-01.cust.tzghsp.net,Reboot Required
CSN-COV-BIZ-02.cust.tzghsp.net,Reboot Required
CSN-COV-HUB-01.cust.tzghsp.net,Reboot Required
CSN-COV-SQL-01.cust.tzghsp.net,Reboot Required
CSN-COV-SQL-03.cust.tzghsp.net,Reboot Required
CSN-COV-SQL-04.cust.tzghsp.net,Reboot Required
CSN-COV-SQL-05.cust.tzghsp.net,Reboot Required
CSN-CPA-QHG-03.CPA.tzghosting.net,Ping-Failed
CSN-CSH-APP-01.CSH.tzghosting.net,Reboot Required
CSN-CSH-APP-02.CSH.tzghosting.net,Reboot Required
CSN-CSH-APP-03.CSH.tzghosting.net,Reboot Required
CSN-CSH-DC-01.CSH.tzghosting.net,Reboot Required
CSN-CSH-DC-02.CSH.tzghosting.net,Reboot Required
CSN-CSH-DFS-01.CSH.tzghosting.net,Reboot Required
CSN-CSH-HUB-01.CSH.tzghosting.net,Reboot Required
CSN-CSH-SQL-01.CSH.tzghosting.net,Reboot Not Required
CSN-CSH-WAS-01.CSH.tzghosting.net,Reboot Required
